source,target,weight,type
14,324,1,directed
14,1996,1,directed
14,325,1,directed
14,1997,1,directed
14,326,1,directed
14,1172,1,directed
14,327,1,directed
14,1999,1,directed
14,328,1,directed
14,2002,1,directed
14,329,1,directed
14,330,1,directed
14,1343,1,directed
14,2005,1,directed
14,2856,1,directed
14,331,1,directed
14,332,1,directed
14,1344,1,directed
14,2006,1,directed
14,333,1,directed
14,1345,1,directed
14,2007,1,directed
14,334,1,directed
14,1346,1,directed
14,2860,1,directed
14,335,1,directed
14,66,1,directed
14,336,1,directed
14,337,1,directed
14,2008,1,directed
14,338,1,directed
14,339,1,directed
14,2011,1,directed
15,340,1,directed
15,407,1,directed
15,341,1,directed
15,342,1,directed
15,343,1,directed
15,344,1,directed
15,345,1,directed
15,346,1,directed
15,347,1,directed
15,348,1,directed
15,349,1,directed
15,350,1,directed
15,351,1,directed
15,352,1,directed
15,353,1,directed
15,354,1,directed
15,355,1,directed
15,356,1,directed
15,357,1,directed
15,358,1,directed
15,359,1,directed
15,360,1,directed
15,361,1,directed
15,362,1,directed
15,363,1,directed
15,2799,1,directed
15,364,1,directed
15,365,1,directed
15,366,1,directed
15,367,1,directed
15,368,1,directed
15,369,1,directed
15,370,1,directed
15,371,1,directed
15,372,1,directed
15,373,1,directed
15,374,1,directed
15,375,1,directed
15,376,1,directed
15,377,1,directed
15,378,1,directed
15,379,1,directed
15,380,1,directed
15,381,1,directed
15,382,1,directed
15,383,1,directed
15,384,1,directed
15,385,1,directed
15,386,1,directed
15,2810,1,directed
15,387,1,directed
15,388,1,directed
15,389,1,directed
15,390,1,directed
15,391,1,directed
15,392,1,directed
15,393,1,directed
15,3247,1,directed
15,394,1,directed
15,395,1,directed
15,396,1,directed
15,397,1,directed
15,398,1,directed
15,399,1,directed
15,400,1,directed
15,677,1,directed
15,2335,1,directed
15,401,1,directed
15,402,1,directed
15,403,1,directed
15,404,1,directed
15,2821,1,directed
15,405,1,directed
15,406,1,directed
16,340,1,directed
16,407,1,directed
16,408,1,directed
16,409,1,directed
16,410,1,directed
16,411,1,directed
16,412,1,directed
16,1695,1,directed
16,2169,1,directed
16,413,1,directed
16,414,1,directed
16,415,1,directed
16,416,1,directed
16,417,1,directed
16,418,1,directed
16,419,1,directed
16,420,1,directed
16,421,1,directed
16,422,1,directed
16,465,1,directed
16,2802,1,directed
16,423,1,directed
16,2807,1,directed
16,424,1,directed
16,425,1,directed
16,426,1,directed
17,427,1,directed
17,428,1,directed
17,429,1,directed
17,430,1,directed
17,431,1,directed
17,432,1,directed
17,433,1,directed
17,434,1,directed
17,435,1,directed
17,436,1,directed
17,437,1,directed
17,438,1,directed
17,439,1,directed
17,440,1,directed
17,441,1,directed
17,442,1,directed
17,443,1,directed
17,444,1,directed
17,445,1,directed
17,926,1,directed
17,1542,1,directed
17,1812,1,directed
17,446,1,directed
17,447,1,directed
17,448,1,directed
17,449,1,directed
17,450,1,directed
17,451,1,directed
17,452,1,directed
17,453,1,directed
17,454,1,directed
17,455,1,directed
17,456,1,directed
17,457,1,directed
17,458,1,directed
17,459,1,directed
17,936,1,directed
17,1547,1,directed
17,1814,1,directed
17,2081,1,directed
17,460,1,directed
17,461,1,directed
17,462,1,directed
17,463,1,directed
17,464,1,directed
17,422,1,directed
17,465,1,directed
17,2802,1,directed
17,466,1,directed
17,467,1,directed
17,468,1,directed
17,469,1,directed
17,470,1,directed
17,471,1,directed
17,472,1,directed
17,473,1,directed
17,474,1,directed
17,475,1,directed
17,476,1,directed
17,477,1,directed
17,478,1,directed
17,2989,1,directed
17,194,1,directed
17,308,1,directed
17,479,1,directed
17,738,1,directed
17,826,1,directed
17,1316,1,directed
17,1692,1,directed
17,2059,1,directed
17,2537,1,directed
17,480,1,directed
17,1584,1,directed
17,1826,1,directed
17,2104,1,directed
17,481,1,directed
17,482,1,directed
17,483,1,directed
17,484,1,directed
17,485,1,directed
18,287,1,directed
18,486,1,directed
18,805,1,directed
18,487,1,directed
18,488,1,directed
18,489,1,directed
18,490,1,directed
18,491,1,directed
18,492,1,directed
18,493,1,directed
18,494,1,directed
18,495,1,directed
18,496,1,directed
18,497,1,directed
18,498,1,directed
18,499,1,directed
18,500,1,directed
18,501,1,directed
18,1103,1,directed
18,502,1,directed
18,503,1,directed
18,504,1,directed
18,505,1,directed
18,506,1,directed
18,507,1,directed
18,508,1,directed
18,509,1,directed
18,510,1,directed
18,511,1,directed
18,512,1,directed
18,513,1,directed
18,514,1,directed
18,515,1,directed
18,516,1,directed
18,517,1,directed
18,518,1,directed
18,519,1,directed
18,520,1,directed
18,521,1,directed
18,522,1,directed
18,523,1,directed
18,524,1,directed
18,525,1,directed
18,526,1,directed
18,527,1,directed
18,528,1,directed
18,529,1,directed
18,530,1,directed
18,531,1,directed
18,532,1,directed
18,533,1,directed
18,534,1,directed
18,535,1,directed
18,536,1,directed
18,537,1,directed
18,538,1,directed
18,539,1,directed
18,540,1,directed
18,541,1,directed
18,542,1,directed
19,543,1,directed
19,544,1,directed
19,545,1,directed
19,546,1,directed
19,547,1,directed
19,234,1,directed
19,548,1,directed
19,549,1,directed
19,550,1,directed
19,551,1,directed
19,552,1,directed
19,553,1,directed
19,634,1,directed
19,554,1,directed
20,555,1,directed
20,556,1,directed
20,557,1,directed
20,558,1,directed
20,559,1,directed
20,560,1,directed
20,561,1,directed
20,562,1,directed
20,563,1,directed
20,564,1,directed
