author_id,first_name,last_name,status,last_known_institution,google_scholar,orcid,openalex
1057,William,Denton,practitioner,York University,"""https://scholar.google.com/citations?hl=en&view_op=search_authors&mauthors=Denton%2C+William&btnG=""","""https://orcid.org/0000-0003-3184-599X""",NA
1058,Heather A.,Fraser,practitioner,York University,NA,NA,NA
1059,Leigh,Jackson,practitioner,York University,NA,NA,NA
106,Louise,Robertson,practitioner,McGill University,NA,NA,NA
1060,Mary,Kandiuk,practitioner,York University,NA,NA,NA
1061,Aaron A.,Lupton,practitioner,York University,NA,NA,NA
1062,Maura,Matesic,practitioner,York University,NA,NA,NA
1063,Patti,Ryan,practitioner,York University,NA,NA,NA
1064,Marcia K.,Salmon,practitioner,York University,"""https://scholar.google.com/citations?hl=en&user=pP81UI8AAAAJ""","""https://orcid.org/0000-0003-2780-6154""","https://openalex.org/A2641442053, https://openalex.org/A2641442053, https://openalex.org/A2641442053, https://openalex.org/A2641442053, https://openalex.org/A2641442053, https://openalex.org/A2641442053"
1065,Victoria,Sigurdson,practitioner,York University,NA,NA,NA
1066,Adam,Taves,practitioner,York University,NA,"""https://orcid.org/0000-0002-5171-2804""",NA
1067,John L.,Dupuis,practitioner,York University,"""https://scholar.google.com/citations?hl=en&user=jiPsMMoAAAAJ""","""https://orcid.org/0000-0002-6066-690X""",NA
1068,Xuemei,Li,practitioner,York University,"""https://scholar.google.com/citations?hl=en&user=mLK9FXsAAAAJ""",NA,NA
1069,Rajiv,Nariani,practitioner,York University,"""https://scholar.google.com/citations?hl=en&user=t65kiUQAAAAJ""","""https://orcid.org/0000-0002-2365-1637""",NA
107,Ana,Rogers-Butterworth,practitioner,McGill University,NA,NA,NA
1070,Rosa,Orlandini,practitioner,York University,NA,"""https://orcid.org/0000-0002-7609-9356""",NA
1071,Dany,Savard,practitioner,York University,"""https://scholar.google.com/citations?hl=en&user=Nqtj350AAAAJ""","""https://orcid.org/0000-0001-7472-7390""",NA
1072,Minglu,Wang,practitioner,York University,"""https://scholar.google.com/citations?hl=en&user=7Li2VOAAAAAJ""","""https://orcid.org/0000-0002-0021-5605""",NA
1073,Alexandra,Wong,practitioner,York University,NA,"""https://orcid.org/0000-0002-7734-6136""",NA
1074,Katrina,Cohen-Palacios,practitioner,York University,NA,NA,NA
1075,Jennifer,Grant,practitioner,York University,NA,NA,NA
1076,Hilary,Barlow,practitioner,York University,NA,NA,NA
1077,Sarah,Coysh,practitioner,York University,NA,NA,NA
1078,Timothy Tan,Huynh,practitioner,York University,NA,NA,NA
1079,Kris,Joseph,practitioner,York University,"""https://scholar.google.com/citations?hl=en&user=EBpW6YwAAAAJ""","""https://orcid.org/0000-0002-2026-2281""",NA
108,Anaïs,Salamon,practitioner,McGill University,NA,"""https://orcid.org/0000-0001-6649-6027""",NA
1080,Tomasz,Mrozewski,practitioner,York University,NA,"""https://orcid.org/0000-0001-7423-4465""",NA
1081,Stephanie L.,Quail,practitioner,York University,NA,"""https://orcid.org/0000-0002-6875-0436""",NA
1082,Nick,Ruest,practitioner,York University,"""https://scholar.google.com/citations?hl=en&user=RoUHiMAAAAAJ""","""https://orcid.org/0000-0003-1891-1112""",NA
1083,Cynthia B.,Archer,practitioner,York University,NA,NA,NA
1084,Trudy,Bodak,practitioner,York University,NA,NA,NA
1085,Joanne P.,Chumakov,practitioner,York University,NA,NA,NA
1086,Julianna,Drexler,practitioner,York University,NA,NA,NA
1087,Kathryn,Elder,practitioner,York University,NA,NA,NA
1088,Leila,Fernandez,practitioner,York University,NA,NA,"https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2174362349, https://openalex.org/A2513650809, https://openalex.org/A2174362349, https://openalex.org/A2174362349"
1089,Tiit,Kodar,practitioner,York University,NA,NA,NA
109,Andrew,Senior,practitioner,McGill University,NA,"""https://orcid.org/0000-0003-3917-6591""",NA
1090,Anne E.,Mcgaughey,practitioner,York University,NA,NA,NA
1091,Vivienne I. F.,Monty,practitioner,York University,"""https://scholar.google.com/citations?hl=en&user=hVcycNMAAAAJ""",NA,NA
1092,Mary,Williamson,practitioner,York University,NA,NA,NA
1093,Rob,Van Der Bliek,practitioner,York University,"""https://scholar.google.com/citations?hl=en&user=ZcMLP1YAAAAJ""","""https://orcid.org/0000-0001-7491-5922""",NA
1094,Jack,Leong,practitioner,York University,NA,"""https://orcid.org/0000-0003-2197-2856""",NA
1095,Sarah,Beaubien,practitioner,University of Guelph,NA,NA,NA
1096,Rebecca,Graham,practitioner,University of Guelph,NA,NA,NA
1097,Kathryn,Harvey,practitioner,University of Guelph,NA,NA,"https://openalex.org/A2963521295, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2673003970, https://openalex.org/A2168712204, https://openalex.org/A2696425431, https://openalex.org/A2168712204, https://openalex.org/A4202105359, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2136476849, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2701101069, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2136476849, https://openalex.org/A2136476849, https://openalex.org/A2668802947, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2098207664, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2136476849, https://openalex.org/A2136476849, https://openalex.org/A2668802947, https://openalex.org/A2646020228, https://openalex.org/A2668802947, https://openalex.org/A2168712204, https://openalex.org/A2168712204, https://openalex.org/A2136476849"
1098,Kirkby,Ryan,practitioner,University of Guelph,NA,NA,NA
1099,Melissa,Mcafee,practitioner,University of Guelph,NA,NA,NA
11,Louise,Leblanc,practitioner,Université Laval,NA,NA,NA
110,Sonia,Smith,practitioner,McGill University,NA,"""https://orcid.org/0000-0003-4337-9164""",NA
1100,Curtis,Sassur,practitioner,University of Guelph,NA,NA,NA
1101,Shifflett,Mcbrayne,practitioner,University of Guelph,NA,NA,NA
1102,Sandra,Ancic,practitioner,University of Guelph,NA,NA,NA
1103,Kailey,Brisbin,practitioner,University of Guelph,NA,NA,NA
1104,Meghan,Ecclestone,practitioner,University of Guelph,NA,NA,NA
1105,Iman,El Gamal,practitioner,University of Guelph,NA,NA,NA
1106,Ian,Gibson,practitioner,University of Guelph,"""https://scholar.google.com/citations?hl=en&user=YrufMCIAAAAJ""","""https://orcid.org/0000-0001-9154-8247""",NA
1107,Barbara,Mcdonald,practitioner,University of Guelph,NA,"""https://orcid.org/0000-0001-7485-6117""",NA
1108,Helen,Salmon,practitioner,University of Guelph,NA,NA,NA
1109,Paul,St-Pierre,practitioner,University of Guelph,NA,"""https://orcid.org/0000-0001-6339-0964""",NA
111,Jacquelyn,Sundberg,practitioner,McGill University,NA,NA,NA
1110,Hana,Storova,practitioner,University of Guelph,NA,NA,NA
1111,Cameron,Wheaton,practitioner,University of Guelph,NA,"""https://orcid.org/0000-0002-8870-1826""",NA
1112,Robin,Bergart,practitioner,University of Guelph,NA,"""https://orcid.org/0000-0002-3629-0033""",NA
1113,Juliene,Mclaughlin,practitioner,University of Guelph,NA,NA,NA
1114,Randy,Oldham,practitioner,University of Guelph,"""https://scholar.google.com/citations?hl=en&user=DvWOxR0AAAAJ""","""https://orcid.org/0000-0003-3017-0097""",NA
1115,Doug,Horne,practitioner,University of Guelph,NA,NA,NA
1116,Nancy,Birch,practitioner,University of Guelph,NA,NA,NA
1117,Melanie,Cassidy,practitioner,University of Guelph,"""https://scholar.google.com/citations?hl=en&user=fptN3CoAAAAJ""",NA,NA
1118,Dave,Hudson,practitioner,University of Guelph,"""https://scholar.google.com/citations?hl=en&user=hQRgoHkAAAAJ""","""https://orcid.org/0000-0003-1233-6188""",NA
1119,Jacqueline,Kreller-Vanderkooy,practitioner,University of Guelph,NA,NA,NA
112,Jean-Marc,Tremblay,practitioner,McGill University,NA,NA,NA
1120,Melanie,Parlette-Stewart,practitioner,University of Guelph,"""https://scholar.google.com/citations?hl=en&user=Dw921aUAAAAJ""","""https://orcid.org/0000-0002-3823-2996""",NA
1121,Pam,Jacobs,practitioner,University of Guelph,"""https://scholar.google.com/citations?hl=en&user=eX3Xs5AAAAAJ""","""https://orcid.org/0000-0001-6884-3002""",NA
1122,Wayne,Johnston,practitioner,University of Guelph,"""https://scholar.google.com/citations?hl=en&user=BK0mynsAAAAJ""","""https://orcid.org/0000-0001-8905-4686""",NA
1123,Jennifer,Marvin,practitioner,University of Guelph,NA,NA,NA
1124,Christopher,Popovich,practitioner,University of Guelph,NA,"""https://orcid.org/0000-0001-5317-7238""",NA
