"venue_id","srcid","sm_code","weight"
"https://openalex.org/V100000117",NA,110,1
"https://openalex.org/V1000112711",NA,163,1
"https://openalex.org/V100028386",NA,163,1
"https://openalex.org/V10007838",NA,150,0.5
"https://openalex.org/V10007838",NA,169,0.5
"https://openalex.org/V100083799",NA,121,1
"https://openalex.org/V100088211",NA,73,1
"https://openalex.org/V1001192252",NA,40,1
"https://openalex.org/V100198395",NA,163,1
"https://openalex.org/V100207823",NA,31,1
"https://openalex.org/V100217082",NA,142,1
"https://openalex.org/V100370944",NA,15,1
"https://openalex.org/V100373537",NA,169,1
"https://openalex.org/V1003885082",NA,83,1
"https://openalex.org/V1004452751",NA,27,1
"https://openalex.org/V100513460",NA,42,1
"https://openalex.org/V1005148073",NA,81,1
"https://openalex.org/V100537957",NA,41,1
"https://openalex.org/V1005615367",NA,154,1
"https://openalex.org/V1005771865",NA,75,1
"https://openalex.org/V1006376875",NA,69,1
"https://openalex.org/V1006930449",NA,112,1
"https://openalex.org/V100695177",NA,168,1
"https://openalex.org/V100725096",NA,99,1
"https://openalex.org/V100750902",NA,76,1
"https://openalex.org/V1007592500",NA,41,1
"https://openalex.org/V1007696303",NA,43,1
"https://openalex.org/V100798638",NA,51,1
"https://openalex.org/V1008158666",NA,31,1
"https://openalex.org/V100825659",NA,159,1
"https://openalex.org/V1008655496",NA,102,1
"https://openalex.org/V1008668990",NA,43,1
"https://openalex.org/V1009428481",NA,57,1
"https://openalex.org/V101015832",NA,135,1
"https://openalex.org/V101023550",NA,126,1
"https://openalex.org/V10105944",NA,110,1
"https://openalex.org/V1010844019",NA,41,1
"https://openalex.org/V101185350",NA,169,1
"https://openalex.org/V1011870789",NA,24,1
"https://openalex.org/V1013005559",NA,41,0.5
"https://openalex.org/V1013005559",NA,44,0.5
"https://openalex.org/V1013089787",NA,70,1
"https://openalex.org/V101403447",NA,99,1
"https://openalex.org/V101458791",NA,50,1
"https://openalex.org/V1014724869",NA,61,1
"https://openalex.org/V1015011244",NA,147,1
"https://openalex.org/V101533208",NA,167,1
"https://openalex.org/V1015575",NA,159,1
"https://openalex.org/V1015980880",NA,57,1
"https://openalex.org/V101617623",NA,15,1
"https://openalex.org/V101624672",NA,35,1
"https://openalex.org/V1016321700",NA,57,1
"https://openalex.org/V101659631",NA,167,1
"https://openalex.org/V1016829236",NA,165,1
"https://openalex.org/V10169007",NA,31,1
"https://openalex.org/V101697109",NA,173,1
"https://openalex.org/V1017132255",NA,129,1
"https://openalex.org/V1017295528",NA,125,1
"https://openalex.org/V1017472883",NA,87,1
"https://openalex.org/V101753820",NA,81,1
"https://openalex.org/V1017986",NA,153,1
"https://openalex.org/V1018424404",NA,26,1
"https://openalex.org/V1018529635",NA,37,1
"https://openalex.org/V1018670893",NA,148,0.5
"https://openalex.org/V1018670893",NA,144,0.5
"https://openalex.org/V101918595",NA,7,1
"https://openalex.org/V102025357",NA,105,1
"https://openalex.org/V1020513567",NA,14,1
"https://openalex.org/V1020589133",NA,70,1
"https://openalex.org/V1020798745",NA,110,1
"https://openalex.org/V1020933676",NA,41,1
"https://openalex.org/V102099276",NA,77,1
"https://openalex.org/V1021280195",NA,144,1
"https://openalex.org/V102144166",NA,42,1
"https://openalex.org/V1021851039",NA,129,1
"https://openalex.org/V10220219",NA,109,1
"https://openalex.org/V102221297",NA,41,1
"https://openalex.org/V10223069",NA,74,1
"https://openalex.org/V1022427805",NA,142,0.5
"https://openalex.org/V1022427805",NA,146,0.5
"https://openalex.org/V1023896538",NA,121,1
"https://openalex.org/V1024009979",NA,50,1
"https://openalex.org/V102451085",NA,119,1
"https://openalex.org/V1024513440",NA,120,1
"https://openalex.org/V102497804",NA,83,1
"https://openalex.org/V102533535",NA,41,1
"https://openalex.org/V102556055",NA,153,1
"https://openalex.org/V1026002727",NA,169,1
"https://openalex.org/V102629317",NA,173,1
"https://openalex.org/V1026428213",NA,22,1
"https://openalex.org/V102688084",NA,41,1
"https://openalex.org/V102719768",NA,4,1
"https://openalex.org/V102790982",NA,61,1
"https://openalex.org/V1028473672",NA,31,1
"https://openalex.org/V102849038",NA,103,1
"https://openalex.org/V102890038",NA,70,1
"https://openalex.org/V1029361842",NA,11,1
"https://openalex.org/V102966739",NA,83,1
"https://openalex.org/V1029743862",NA,73,1
"https://openalex.org/V102976925",NA,41,1
"https://openalex.org/V102982581",NA,41,1
"https://openalex.org/V103101201",NA,105,1
"https://openalex.org/V103134996",NA,142,1
"https://openalex.org/V1031399719",NA,74,1
